feature,mean_abs_shap_overall
sulphates,0.03428471878323508
alcohol,0.030360055237903767
citric acid,0.016981099763549678
sulphur_ratio,0.01680137621797446
density_alcohol,0.016791236511634472
fixed acidity,0.01557736855152815
residual sugar,0.015127079715309522
free sulfur dioxide,0.01291160029010413
total sulfur dioxide,0.011034010264655772
density,0.010574763565787028
chlorides,0.007520551915410027
citric_fixed_ratio,0.006001678249849267
acid_ratio,0.0058141082559210475
pH,0.005646799781162869
volatile acidity,0.005468454269480143
nonfree_sulfur,0.005042066343296808
alc_sulphates,0.004197269074266605
